CNES;Latitude_Nova;Longitude_Nova;Endereco_Google;Qualidade_Busca
37583;-22.9845092;-43.20562109999999;R. Visc. de Pirajá, 351 - 621 - Ipanema, Rio de Janeiro - RJ, 22410-906, Brazil;ROOFTOP
37591;-22.9846531;-43.1998052;R. Visc. de Pirajá, 151 - Loja A - Ipanema, Rio de Janeiro - RJ, 22410-001, Brazil;ROOFTOP
37613;-22.9095239;-43.1747789;R. México, 90 - Centro, Rio de Janeiro - RJ, 20031-141, Brazil;ROOFTOP
37621;-22.9773213;-43.1907211;Av. Nossa Sra. de Copacabana, 1018 - Copacabana, Rio de Janeiro - RJ, 22060-002, Brazil;ROOFTOP
37656;-22.9832087;-43.22029149999999;Rua Carlos Góis, 375 - Leblon, Rio de Janeiro - RJ, 22440-040, Brazil;ROOFTOP
37850;-22.9553361;-44.044709;R. Artur Píres - Mangaratiba, RJ, Brazil;GEOMETRIC_CENTER
38458;-23.1000559;-48.92679529999999;R. Goiás, 1029 - Centro, Avaré - SP, 18700-140, Brazil;ROOFTOP
39675;-19.7652788;-43.8581312;R. Silva Jardim, 274 - Centro, Santa Luzia - MG, 33010-210, Brazil;ROOFTOP
39705;-19.7971369;-43.9434654;R. Geraldo Teixeira da Costa, 51 - São Benedito, Santa Luzia - MG, 33105-450, Brazil;ROOFTOP
40665;-2.4999144;-44.2226229;Av. Acre, 59 - Chacara Brasil - Turu, São Luís - MA, 65065-075, Brazil;GEOMETRIC_CENTER
42145;-28.7030441;-49.3559768;R. Miguel Patrício de Souza - Bosque do Repouso, Criciúma - SC, Brazil;GEOMETRIC_CENTER
42749;-20.5304596;-47.3900862;R. Cap. Anselmo, 1950 - Cidade Nova, Franca - SP, 14401-154, Brazil;ROOFTOP
43834;-2.5435689;-44.214616;Cohab Anil I, São Luís - State of Maranhão, 65137-000, Brazil;GEOMETRIC_CENTER
43893;-15.6060203;-56.1058356;R. Barão de Melgaço, 2130 - Centro Sul, Cuiabá - MT, 78020-800, Brazil;ROOFTOP
43923;-27.599858;-48.613381;R. Victor Meirelles, 600 - Campinas, São José - SC, 88101-170, Brazil;ROOFTOP
44695;-8.0649258;-34.898967;Av. Gov. Agamenon Magalhães, 4760 - Paissandu, Recife - PE, 52010-075, Brazil;GEOMETRIC_CENTER
46396;-22.8959527;-43.1208521;R. Dr. Borman, 43 - sala 1405 E 1406 - Centro, Niterói - RJ, 24020-320, Brazil;ROOFTOP
46795;-2.4932677;-44.2784324;Av. dos Holandeses, 02 - Alto do Calhau, São Luís - MA, 65071-380, Brazil;ROOFTOP
47295;-22.9755524;-42.028456;Av. Getúlio Vargas - Praia Grande, Arraial do Cabo - RJ, 28930-000, Brazil;GEOMETRIC_CENTER
47449;-8.064024;-34.8957846;Av. Frei Matias Teves, 280 - Ilha do Leite, Recife - PE, 50070-465, Brazil;ROOFTOP
47678;-8.095722199999999;-34.8861837;Condomínio do Edifício Clinical Center - Av. Eng. Domingos Ferreira, 636 - Boa Viagem, Recife - PE, 51011-050, Brazil;ROOFTOP
47686;-15.93696;-57.03478399999999;BR-070, 120 - Zona Rural, Poconé - MT, 78175-000, Brazil;ROOFTOP
47724;-23.2977786;-46.730182;Av. Ulisses Guimarães - Vila Guilherme, Francisco Morato - SP, 07998-000, Brazil;GEOMETRIC_CENTER
47872;-5.0938199;-42.80568660000001;R. Anísio de Abreu, 622 - Centro (Sul), Teresina - PI, 64001-330, Brazil;ROOFTOP
48151;-20.3509741;-40.2873813;Em frente ao Extrabom e ao lado dos fundos do Carone - Av. Fortaleza, 1018 - Itapuã, Vila Velha - ES, 29101-571, Brazil;ROOFTOP
48186;-21.1998628;-42.8732561;R. Edmundo Teixeira, 179, Rodeiro - MG, 36510-000, Brazil;RANGE_INTERPOLATED
48429;-19.6772517;-40.2580531;Av. Gabriel Pandolfi, 333 - Guaraná, Aracruz - ES, 29195-409, Brazil;ROOFTOP
49239;-7.902221999999999;-36.04758;R. Dr. Aloísio Pereira, 236 - Centro, Taquaritinga do Norte - PE, 55790-000, Brazil;ROOFTOP
49654;-23.5214544;-47.4457069;Rua Montevidéo, 142 - Jardim Parada do Alto, Sorocaba - SP, 18025-670, Brazil;ROOFTOP
50857;-30.0842432;-51.2465793;Av. Diário de Notícias, 200 - Sala 511 - Cristal, Porto Alegre - RS, 90810-080, Brazil;ROOFTOP
51675;-28.2922337;-49.1430522;R. Sebastião Antonio da Silva - Sertão do Rio Bonito, Braço do Norte - SC, 88750-000, Brazil;GEOMETRIC_CENTER
51950;-7.1102963;-34.8249806;Av. Sen. Ruy Carneiro, 166 - Manaíra, João Pessoa - PB, 58039-180, Brazil;ROOFTOP
52094;-26.9556649;-48.6362228;Av. Carlos Drummond de Andrade, 600 - Praia dos Amores, Balneário Camboriú - SC, 88331-410, Brazil;ROOFTOP
52213;-2.2449182;-49.5012694;Travessa Angelo Corrêa, 277 - CENTRO, Cametá - PA, 68400-000, Brazil;ROOFTOP
52531;-9.6568986;-35.7034229;R. Dep. José Lages, 491 - Ponta Verde, Maceió - AL, 57035-688, Brazil;ROOFTOP
53465;-12.9096007;-38.4070635;R. F- Jaguaripe - Cajazeiras, Salvador - BA, 41342-660, Brazil;GEOMETRIC_CENTER
53767;-22.9253804;-43.2338993;Rua Conde de Bonfim, 377 - Tijuca, Rio de Janeiro - RJ, 20520-051, Brazil;ROOFTOP
54267;-22.983675;-43.2115003;R. Visc. de Pirajá, 550 - Ipanema, Rio de Janeiro - RJ, 22410-003, Brazil;ROOFTOP
54968;-22.9842381;-43.2115749;R. Visc. de Pirajá, 547 - Ipanema, Rio de Janeiro - RJ, 22410-900, Brazil;ROOFTOP
55069;-22.968584;-43.1843452;Av. Nossa Sra. de Copacabana, 540 - sala 807 - Copacabana, Rio de Janeiro - RJ, 22020-001, Brazil;ROOFTOP
55301;-22.9931661;-43.37115660000001;Américas Medical City - Av. Jorge Curi, 550 - Barra da Tijuca, Rio de Janeiro - RJ, 22775-001, Brazil;ROOFTOP
55425;-22.9842465;-43.2075565;R. Visc. de Pirajá, 407 - Ipanema, Rio de Janeiro - RJ, 22410-003, Brazil;ROOFTOP
55859;-22.901936;-43.126903;R. Tiradentes, 12 - Ingá, Niterói - RJ, 24210-510, Brazil;ROOFTOP
55999;-13.0011117;-38.4813511;Av. Juracy Magalhães Júnior, 2096 - Rio Vermelho, Salvador - BA, 41920-180, Brazil;ROOFTOP
56006;-12.9801733;-38.4514182;Ed. São Conrado Offices - R. Sd. Luiz Gonzaga das Virgens, nº 138 - sala 1107 - Caminho das Árvores, Salvador - BA, 41820-560, Brazil;ROOFTOP
56049;-27.0672713;-52.62674639999999;R. São Domingos, 120D - Líder, Chapecó - SC, 89805-273, Brazil;ROOFTOP
56626;-5.0863153;-42.800934;R. Rio Grande do Sul, 70 - Frei Serafim, Teresina - PI, 64001-550, Brazil;ROOFTOP
56758;-22.9812754;-43.2034594;R. Alberto de Campos, 175 - Ipanema, Rio de Janeiro - RJ, 22411-030, Brazil;ROOFTOP
57037;-16.0266993;-49.797698;R. dos Esportes, Itaberaí - GO, 76630-000, Brazil;GEOMETRIC_CENTER
57398;-22.8643784;-43.6012754;Estr. Rio São Paulo, 6011 - Campo Grande, Rio de Janeiro - RJ, 23075-900, Brazil;ROOFTOP
57568;-30.0857316;-51.2470246;Av. Diário de Notícias, 400 - sala 1313 - Cristal, Porto Alegre - RS, 90810-080, Brazil;ROOFTOP
57819;-11.6885146;-61.1600225;Av. Recife, 1048 - Nova Pimenta, Pimenta Bueno - RO, 76970-000, Brazil;ROOFTOP
57975;-22.9844825;-43.2056208;Forum de Ipanema - R. Visc. de Pirajá, 351 - sala 810 - Ipanema, Rio de Janeiro - RJ, 22410-906, Brazil;ROOFTOP
58157;-22.9845563;-43.2032;R. Visc. de Pirajá, 259 - Ipanema, Rio de Janeiro - RJ, 22410-001, Brazil;ROOFTOP
58343;-23.9535425;-46.3300136;R. Júlio Conceição, 296 - Cj 505 e 506 - Vila Matias, Santos - SP, 11015-540, Brazil;ROOFTOP
58637;-22.9061236;-43.1122053;R. Ator Paulo Gustavo, 160 - Icaraí, Niterói - RJ, 24230-062, Brazil;ROOFTOP
58998;-16.6946232;-49.2133314;R. Perimetral 6, 118 - QD. X-8 - Conj. Riviera, Goiânia - GO, 74730-010, Brazil;ROOFTOP
59218;-12.1292759;-45.0082151;R. do Antigo Aeroporto, 167 - São Pedro, Barreiras - BA, 47807-070, Brazil;RANGE_INTERPOLATED
59226;-10.2104225;-48.33431239999999;Quadra 401 Sul, Avenida Joaquim Teotônio Segurado - Sala 1007, décimo andar. - Plano Diretor Sul, Palmas - TO, 77015-380, Brazil;GEOMETRIC_CENTER
