CNES;Motivo_Erro
154407;Caiu em cidade errada. Esperado: IBGE 220105
154504;Caiu em cidade errada. Esperado: IBGE 313665
154946;Caiu em cidade errada. Esperado: IBGE 292665
155101;Fora do Brasil ou no mar
155330;Caiu em cidade errada. Esperado: IBGE 261110
155632;Fora do Brasil ou no mar
156388;Caiu em cidade errada. Esperado: IBGE 432260
156426;Caiu em cidade errada. Esperado: IBGE 432260
156604;Fora do Brasil ou no mar
156698;Caiu em cidade errada. Esperado: IBGE 351620
157112;Caiu em cidade errada. Esperado: IBGE 330455
157597;Caiu em cidade errada. Esperado: IBGE 354850
157600;Caiu em cidade errada. Esperado: IBGE 330455
157627;Caiu em cidade errada. Esperado: IBGE 330455
157635;Caiu em cidade errada. Esperado: IBGE 330455
161926;Caiu em cidade errada. Esperado: IBGE 355030
162884;Caiu em cidade errada. Esperado: IBGE 330455
